"","year_","ID","capdt","gpsdt","weight","culmen","totalHead","tarsus","wing","thr_width","thr_height","sex","n_by_id","capture_id","delta_weight","delta_time"
"40",2006,121239959,2006-05-30 11:24:00,2006-05-30 11:42:01,106,30.2999992370605,57.7999992370605,27.8999996185303,146,4,NA,1,2,"121239959_2006",NA,NA
"41",2006,121239959,2006-06-08 10:53:00,2006-06-08 11:26:21,97,NA,NA,NA,NA,3.16667008399963,NA,1,2,"121239959_2006",-9,776660
"42",2006,121239962,2006-06-01 18:45:00,2006-06-01 18:51:08,110,30.1000003814697,56.9000015258789,29.2000007629395,143,4,NA,1,2,"121239962_2006",NA,NA
"43",2006,121239962,2006-06-25 15:49:00,2006-06-25 16:42:35,101,NA,NA,NA,NA,3.5,NA,1,2,"121239962_2006",-9,2065887
"44",2006,121239968,2006-06-03 19:29:00,2006-06-03 19:36:56,101,28.3999996185303,53.7999992370605,29.1000003814697,145,3,NA,1,2,"121239968_2006",NA,NA
"45",2006,121239968,2006-06-25 11:55:00,2006-06-25 12:27:13,94,NA,NA,NA,NA,2.33332991600037,NA,1,2,"121239968_2006",-7,1875017
"46",2006,123213027,2006-06-09 11:03:00,2006-06-09 11:26:55,88,27.2999992370605,54.0999984741211,29.1000003814697,142,3.33332991600037,NA,1,2,"123213027_2006",NA,NA
"47",2006,123213027,2006-06-25 14:50:00,2006-06-25 15:15:43,98,NA,NA,NA,NA,4,NA,1,2,"123213027_2006",10,1396128
"48",2006,123213030,2006-06-09 16:18:00,2006-06-09 16:32:54,92,27.2000007629395,53.9000015258789,28.5,140.5,4,NA,1,2,"123213030_2006",NA,NA
"49",2006,123213030,2006-06-25 13:52:00,2006-06-25 13:57:04,84,NA,NA,NA,NA,3,NA,1,2,"123213030_2006",-8,1373050
"50",2006,123213032,2006-06-10 10:16:00,2006-06-10 10:24:01,93,27.1000003814697,52.5,28.2999992370605,139,4.33333015441895,NA,1,2,"123213032_2006",NA,NA
"51",2006,123213032,2006-06-11 09:50:00,2006-06-11 10:35:42,84,NA,NA,NA,NA,NA,NA,1,2,"123213032_2006",-9,87101
"52",2006,123213037,2006-06-10 16:50:00,2006-06-10 17:03:45,90,29.7000007629395,55.7999992370605,29.3999996185303,142,3.16667008399963,NA,1,2,"123213037_2006",NA,NA
"53",2006,123213037,2006-06-25 16:50:00,2006-06-25 16:58:37,92,NA,NA,NA,NA,2.5,NA,1,2,"123213037_2006",2,1295692
"54",2006,123213039,2006-06-10 17:53:00,2006-06-10 18:01:56,93,29.2999992370605,56.2000007629395,28.2000007629395,145,2.66667008399963,NA,1,2,"123213039_2006",NA,NA
"55",2006,123213039,2006-06-26 23:34:00,2006-06-26 23:55:44,86,NA,NA,NA,NA,2.83332991600037,NA,1,2,"123213039_2006",-7,1403628
"56",2006,123213046,2006-06-13 12:20:00,2006-06-13 12:41:50,93.5,27.8999996185303,54.5,29.5,144,3.83332991600037,NA,1,2,"123213046_2006",NA,NA
"57",2006,123213046,2006-06-25 11:29:00,2006-06-25 11:50:59,89,NA,NA,NA,NA,2.5,NA,1,2,"123213046_2006",-4.5,1033749
"58",2006,123213053,2006-06-14 11:05:00,2006-06-14 11:26:29,96,29.1000003814697,55.5,28.8999996185303,146,3.83332991600037,NA,1,2,"123213053_2006",NA,NA
"59",2006,123213053,2006-06-27 10:08:00,2006-06-27 10:41:43,101,NA,NA,NA,NA,2,NA,1,2,"123213053_2006",5,1120514
"60",2006,123213054,2006-06-14 11:36:00,2006-06-14 11:48:13,93,29,56,29,145,4,NA,1,2,"123213054_2006",NA,NA
"61",2006,123213054,2006-06-25 15:32:00,2006-06-25 15:45:21,90,NA,NA,NA,NA,2.5,NA,1,2,"123213054_2006",-3,964628
"62",2006,123213057,2006-06-14 14:42:00,2006-06-14 15:22:09,108,28.5,55.5,29,147,3.83332991600037,NA,1,2,"123213057_2006",NA,NA
"63",2006,123213057,2006-06-25 10:05:00,2006-06-25 10:25:55,78,NA,NA,NA,NA,NA,NA,1,2,"123213057_2006",-30,932626
"64",2006,123213058,2006-06-14 15:25:00,2006-06-14 15:56:31,94,30.3999996185303,58,28.5,144,3.33332991600037,NA,1,2,"123213058_2006",NA,NA
"65",2006,123213058,2006-06-26 22:42:00,2006-06-26 23:01:13,96,NA,NA,NA,NA,4.33333015441895,NA,1,2,"123213058_2006",2,1062282
"66",2006,123213065,2006-06-08 11:03:00,2006-06-08 11:12:51,105.5,30.9500007629395,58.8600006103516,29.9899997711182,146,2.83332991600037,NA,1,2,"123213065_2006",NA,NA
"67",2006,123213065,2006-06-25 10:40:00,2006-06-25 11:14:50,107,NA,NA,NA,NA,3.33332991600037,NA,1,2,"123213065_2006",1.5,1468919
"68",2006,123213066,2006-06-08 11:55:00,2006-06-08 12:27:52,91,29.3500003814697,55.939998626709,30.3600006103516,142,3,NA,1,3,"123213066_2006",NA,NA
"69",2006,123213066,2006-06-14 10:48:00,2006-06-14 11:04:52,103.5,NA,NA,NA,NA,NA,NA,1,3,"123213066_2006",12.5,513420
"70",2006,123213066,2006-06-22 12:54:00,2006-06-16 12:00:53,98,NA,NA,NA,NA,3.66667008399963,NA,1,3,"123213066_2006",-5.5,176161
"71",2006,123213075,2006-06-19 12:40:00,2006-06-19 13:00:15,97,30.1299991607666,55.3499984741211,28.6700000762939,145,3.5,NA,1,2,"123213075_2006",NA,NA
"72",2006,123213075,2006-06-27 14:00:00,2006-06-27 14:35:05,94,NA,NA,NA,NA,2.66667008399963,NA,1,2,"123213075_2006",-3,696890
"73",2006,123213078,2006-06-16 14:08:00,2006-06-16 14:27:54,95,27.2099990844727,55.2200012207031,28.7600002288818,145,3.16667008399963,NA,1,2,"123213078_2006",NA,NA
