"","year_","ID","capdt","gpsdt","weight","culmen","totalHead","tarsus","wing","thr_width","thr_height","sex","n_by_id"
"40",2005,162116345,2005-06-12 00:00:00,2005-06-12 22:07:58,96,31.2000007629395,57.5999984741211,31.3999996185303,144,NA,NA,1,1
"41",2005,162116346,2005-06-14 00:00:00,2005-06-14 21:27:28,102,29.6000003814697,56.7999992370605,28.8999996185303,147,NA,NA,1,2
"42",2005,162116346,2005-06-27 00:00:00,2005-06-27 21:00:38,99,NA,NA,NA,NA,NA,NA,1,2
"43",2005,162116347,2005-06-16 00:00:00,2005-06-16 17:15:40,105,30.3999996185303,57.9000015258789,29.5,148.5,NA,NA,1,1
"44",2005,162116351,2005-06-14 00:00:00,2005-06-14 17:37:06,95,30.2000007629395,57.7000007629395,29.1000003814697,142.5,NA,NA,1,2
"45",2005,162116351,2005-06-25 00:00:00,2005-06-25 18:34:01,93,NA,NA,NA,NA,NA,NA,1,2
"46",2005,162116352,2005-06-11 00:00:00,2005-06-11 00:00:00,92.5,28.7000007629395,54.9000015258789,30,150.5,NA,NA,1,1
"47",2005,162116353,2005-06-12 00:00:00,2005-06-12 23:37:22,105,29.8999996185303,57.2000007629395,30.1000003814697,145.5,NA,NA,1,1
"48",2005,162116354,2005-06-10 00:00:00,2005-06-10 00:00:00,96.5,28.2999992370605,54.2000007629395,27.5,144,NA,NA,1,1
"49",2005,162116358,2005-06-10 00:00:00,2005-06-10 14:23:16,102.5,29,56.4000015258789,29.2999992370605,146,NA,NA,1,1
"50",2005,162116359,2005-06-10 00:00:00,2005-06-10 14:27:20,101,28,53.4000015258789,29.1000003814697,142.5,NA,NA,1,1
"51",2005,162116361,2005-06-10 00:00:00,2005-06-10 20:49:24,110,28.7999992370605,55.2999992370605,29,147.5,NA,NA,1,1
"52",2005,162116362,2005-06-10 00:00:00,2005-06-10 15:14:09,100.5,30.0599994659424,56.7000007629395,29.8999996185303,142,NA,NA,1,1
"53",2005,162116363,2005-06-15 00:00:00,2005-06-15 22:49:28,92,29,55.9000015258789,29.5,148,NA,NA,1,1
"54",2005,162116364,2005-06-11 00:00:00,2005-06-11 00:00:00,97,29.8999996185303,57.5999984741211,29.0100002288818,143,NA,NA,1,1
"55",2005,162116365,2005-06-10 00:00:00,2005-06-10 15:14:09,112.5,30.0200004577637,57.2000007629395,30.0499992370605,142,NA,NA,1,1
"56",2005,162116366,2005-06-15 00:00:00,2005-06-15 21:17:37,99,29.5,56.4500007629395,30.5,146,NA,NA,1,3
"57",2005,162116366,2005-06-23 00:00:00,2005-06-23 14:53:00,103.5,NA,NA,NA,NA,NA,NA,1,3
"58",2005,162116366,2005-06-27 00:00:00,2005-06-27 22:28:55,104,NA,NA,NA,NA,NA,NA,1,3
"59",2005,162116367,2005-06-10 00:00:00,2005-06-10 15:14:09,99.5,28.7999992370605,55.7999992370605,27.7999992370605,138,NA,NA,1,2
"60",2005,162116367,2005-06-23 00:00:00,2005-06-23 17:34:19,100,NA,NA,NA,NA,NA,NA,1,2
"61",2005,162116368,2005-06-15 00:00:00,2005-06-15 22:47:37,104,28.6000003814697,53.7000007629395,29.8500003814697,150,NA,NA,1,1
"62",2005,162116369,2005-06-10 00:00:00,2005-06-10 16:13:39,103,28.3999996185303,54.7999992370605,31.1000003814697,145,NA,NA,1,1
"63",2005,162116370,2005-06-10 00:00:00,2005-06-10 16:05:55,100,28.6000003814697,55.7999992370605,30.0200004577637,146,NA,NA,1,1
"64",2005,162116371,2005-06-15 00:00:00,2005-06-15 22:01:37,101,28.8999996185303,55.4000015258789,30.3999996185303,144,NA,NA,1,1
"65",2005,162116372,2005-06-16 00:00:00,2005-06-16 17:47:11,96,29.5,56.5999984741211,29.2999992370605,141.5,NA,NA,1,2
"66",2005,162116372,2005-06-23 00:00:00,2005-06-23 22:32:43,83,NA,NA,NA,NA,NA,NA,1,2
"67",2005,162116373,2005-06-14 00:00:00,2005-06-14 18:15:26,89,28,55.5,30.3999996185303,143,NA,NA,1,1
"68",2005,162116375,2005-06-16 00:00:00,2005-06-16 18:08:15,95,31.3999996185303,57.4000015258789,29.1000003814697,146.5,NA,NA,1,1
"69",2005,162116377,2005-06-12 00:00:00,2005-06-12 16:17:37,102,28.2999992370605,53.7000007629395,29.2000007629395,142.5,NA,NA,1,1
"70",2005,162116378,2005-06-14 00:00:00,2005-06-14 18:15:26,109,29.7000007629395,55.5,29.7000007629395,148,NA,NA,1,1
"71",2005,162116381,2005-06-11 00:00:00,2005-06-11 00:00:00,104,29.2000007629395,56.4000015258789,30.0499992370605,144,NA,NA,1,1
"72",2005,162116386,2005-06-16 00:00:00,2005-06-16 18:17:58,106,29,56.4000015258789,28.2999992370605,145,NA,NA,1,1
"73",2005,162116387,2005-06-16 00:00:00,2005-06-16 18:04:32,90,27.3999996185303,53.5999984741211,30.2999992370605,144,NA,NA,1,1
"74",2005,162116388,2005-06-16 00:00:00,2005-06-16 18:00:59,85,26.1499996185303,53.0999984741211,29.2000007629395,145,NA,NA,1,2
"75",2005,162116388,2005-06-16 00:00:00,2005-06-16 20:38:38,92.5,NA,NA,NA,NA,NA,NA,1,2
"76",2005,162116391,2005-06-16 00:00:00,2005-06-16 18:04:32,103,30.3999996185303,58,31.3999996185303,142,NA,NA,1,1
"77",2005,162116392,2005-06-16 00:00:00,2005-06-16 18:12:05,94,28.5,55.2000007629395,29.7000007629395,142,NA,NA,1,1
"78",2005,162116394,2005-06-16 00:00:00,2005-06-16 22:28:52,97,28.2999992370605,55.5,29.7000007629395,148.5,NA,NA,1,1
"79",2005,162116395,2005-06-16 00:00:00,2005-06-16 18:08:15,91,29.1000003814697,55.5999984741211,29.1000003814697,145,NA,NA,1,1
"80",2005,162116396,2005-06-16 00:00:00,2005-06-16 17:47:11,97,29.1499996185303,55,30.1000003814697,149,NA,NA,1,1
"81",2005,162116397,2005-06-16 00:00:00,2005-06-16 18:12:05,98,30.3999996185303,57.7000007629395,29.8999996185303,144,NA,NA,1,1
"82",2005,162116400,2005-06-23 00:00:00,2005-06-23 16:45:39,98,29.8999996185303,57,27.1000003814697,148,NA,NA,1,1
"83",2005,198103101,2005-06-16 00:00:00,2005-06-16 22:31:52,106.5,29.6000003814697,56.4000015258789,30.5,147,NA,NA,1,2
"84",2005,198103101,2005-06-19 00:00:00,2005-06-19 22:57:45,108,NA,NA,NA,NA,NA,NA,1,2
"85",2005,198103102,2005-06-16 00:00:00,2005-06-16 22:37:02,93,29.1000003814697,56.0999984741211,30.2999992370605,147,NA,NA,1,1
"86",2005,198103105,2005-06-26 00:00:00,2005-06-26 17:03:33,105,29.2999992370605,55.7000007629395,28.5,144.5,NA,NA,1,1
"87",2005,198103110,2005-06-20 00:00:00,2005-06-20 20:42:24,97,29.1000003814697,56.7000007629395,29,138,NA,NA,1,2
"88",2005,198103110,2005-06-27 00:00:00,2005-06-27 23:17:23,86,NA,NA,NA,NA,NA,NA,1,2
"89",2005,198103111,2005-06-28 00:00:00,2005-06-28 19:58:45,91,29.5,57.2000007629395,30,144,NA,NA,1,1
"90",2005,198103112,2005-06-23 00:00:00,2005-06-23 19:56:58,104,31.5,59.0999984741211,30.3999996185303,146.5,NA,NA,1,2
"91",2005,198103112,2005-06-28 00:00:00,2005-06-28 19:54:44,83,NA,NA,NA,NA,NA,NA,1,2
"92",2005,198103113,2005-06-26 00:00:00,2005-06-26 16:45:25,85,29,56.2000007629395,29.7999992370605,142,NA,NA,1,1
"93",2005,198103119,2005-06-23 00:00:00,2005-06-23 16:19:29,101.5,29,55.5999984741211,29.5,147,NA,NA,1,1
"94",2005,198103120,2005-06-27 00:00:00,2005-06-27 21:48:07,94,NA,NA,NA,NA,NA,NA,1,2
"95",2005,198103120,2005-06-27 00:00:00,2005-06-27 23:17:23,94,NA,NA,NA,NA,NA,NA,1,2
"96",2005,198103123,2005-06-19 00:00:00,2005-06-19 17:47:34,93,29.7999992370605,57.5999984741211,30.5,147,NA,NA,1,1
"97",2005,198103124,2005-06-26 00:00:00,2005-06-26 17:07:07,104,28.7999992370605,55.4000015258789,29,144,NA,NA,1,1
"98",2005,198103125,2005-06-19 00:00:00,2005-06-19 00:34:35,101,29.8999996185303,57.0999984741211,29.8999996185303,147,NA,NA,1,1
"99",2005,198103126,2005-06-20 00:00:00,2005-06-20 00:34:08,91,30.8999996185303,56.7999992370605,28.2999992370605,145,NA,NA,1,1
"100",2005,198103128,2005-06-26 00:00:00,2005-06-26 17:03:33,106,31.8999996185303,58,29.1000003814697,144,NA,NA,1,1
"101",2005,198103129,2005-06-23 00:00:00,2005-06-23 16:45:39,96,26.6000003814697,54,29.8999996185303,144,NA,NA,1,1
"102",2005,198103130,2005-06-23 00:00:00,2005-06-23 17:34:19,106.5,31.7999992370605,59.7000007629395,30.8999996185303,149,NA,NA,1,1
"103",2005,198103132,2005-06-26 00:00:00,2005-06-26 17:28:52,100,28.7000007629395,56.2000007629395,28.5,146,NA,NA,1,1
"104",2005,198103133,2005-06-20 00:00:00,2005-06-20 17:33:14,101,29.2000007629395,57.4000015258789,27.8999996185303,144,NA,NA,1,2
"105",2005,198103133,2005-06-23 00:00:00,2005-06-23 19:56:58,84,NA,NA,NA,NA,NA,NA,1,2
"106",2005,198103134,2005-06-20 00:00:00,2005-06-20 17:20:45,101,29,55.2999992370605,28.2000007629395,147.5,NA,NA,1,1
"107",2005,198103138,2005-06-28 00:00:00,2005-06-28 20:02:29,102,26.8999996185303,54,28.2999992370605,144,NA,NA,1,1
"108",2005,198103139,2005-06-27 00:00:00,2005-06-27 21:10:33,94.5,28.1000003814697,55.0999984741211,28.7000007629395,143,NA,NA,1,1
"109",2005,198103142,2005-06-26 00:00:00,2005-06-26 16:56:38,102,29.2000007629395,55.5,27.3999996185303,144,NA,NA,1,1
"110",2005,198103147,2005-06-20 00:00:00,2005-06-20 21:08:48,101,29.8999996185303,56.7999992370605,30,140.5,NA,NA,1,1
"111",2005,198103150,2005-06-26 00:00:00,2005-06-26 17:33:29,109,31.5,58.5999984741211,29.7000007629395,144,NA,NA,1,1
"112",2005,198103153,2005-06-23 00:00:00,2005-06-23 15:36:22,94,29.2000007629395,55.5999984741211,28.7999992370605,145,NA,NA,1,1
"113",2005,198103156,2005-06-23 00:00:00,2005-06-23 16:19:29,81,26.7999992370605,54,29.6000003814697,142,NA,NA,1,1
"114",2005,198103167,2005-06-20 00:00:00,2005-06-20 18:22:05,98,28,54.7999992370605,28.1000003814697,141,NA,NA,1,1
"115",2005,198103171,2005-06-10 00:00:00,2005-06-10 14:23:16,99,29.75,56.5,30.0300006866455,143,NA,NA,1,2
"116",2005,198103171,2005-06-23 00:00:00,2005-06-23 15:08:21,98,NA,NA,NA,NA,NA,NA,1,2
"117",2005,198103173,2005-06-25 00:00:00,2005-06-25 15:54:18,101,30.25,57.2000007629395,30.1000003814697,145,NA,NA,1,1
"118",2005,198103175,2005-06-27 00:00:00,2005-06-27 20:50:03,104,29.5,56.7000007629395,29.8999996185303,151,NA,NA,1,1
"119",2005,198103187,2005-06-23 00:00:00,2005-06-23 21:31:14,101,28.1000003814697,55.2999992370605,27.6000003814697,145.5,NA,NA,1,1
"120",2005,198103191,2005-06-25 00:00:00,2005-06-25 17:53:03,96,28.2000007629395,55,30.7999992370605,145,NA,NA,1,1
